업체명,경도,위도,숙박유형,숙박점수
수정장여관,129.0435385,35.12531391,펜션/민박/유스호스텔,8.51
본모텔,129.0514041,35.13210928,펜션/민박/유스호스텔,8.51
부산항힐링야영장,129.0503409,35.11408836,캠핑/카라반/글램핑,7.98
베스트인시티호텔,129.0414928,35.12030724,호텔/리조트,28.03
노떼라미아호텔,129.0397668,35.11184173,호텔/리조트,28.03
씨앤씨모텔,129.0370603,35.11310246,펜션/민박/유스호스텔,8.51
씨엔씨여관,129.0370628,35.11309666,펜션/민박/유스호스텔,8.51
멕시멈호텔,129.0393263,35.11592723,호텔/리조트,28.03
마리나레지던스호텔,129.0388643,35.11553521,호텔/리조트,28.03
구봉여인숙,129.0390855,35.11515237,펜션/민박/유스호스텔,8.51
본역여인숙,129.0384915,35.11433791,펜션/민박/유스호스텔,8.51
복성여관,129.0383635,35.11457684,펜션/민박/유스호스텔,8.51
남양장,129.0387808,35.1153894,펜션/민박/유스호스텔,8.51
장춘모텔,129.0380368,35.11340772,펜션/민박/유스호스텔,8.51
알프스모텔,129.0390936,35.1152711,펜션/민박/유스호스텔,8.51
대림장,129.0389543,35.11574613,펜션/민박/유스호스텔,8.51
거창여인숙,129.0377908,35.11294614,펜션/민박/유스호스텔,8.51
황금빌라,129.0378672,35.11299684,펜션/민박/유스호스텔,8.51
이바구캠프,129.0283125,35.11918333,캠핑/카라반/글램핑,7.98
이바구캠프,129.0285237,35.11915903,캠핑/카라반/글램핑,7.98
